10500 13400
1 108 36
1 197 62
1 278 51
1 75 67
1 169 44
1 313 69
1 222 22
2 384 40
2 128 41
2 383 30
2 92 59
2 429 65
2 56 33
2 58 55
3 343 15
3 127 20
3 207 67
3 383 41
3 112 22
3 43 63
3 38 30
3 410 26
3 267 42
4 254 37
4 243 56
4 172 65
5 333 18
5 119 62
5 238 58
5 100 29
5 97 58
5 229 48
5 464 37
6 327 18
6 58 39
6 209 59
6 490 21
6 12 39
7 127 36
7 202 11
7 51 22
7 98 50
7 283 36
7 189 67
7 385 25
7 330 51
7 415 23
7 282 65
8 306 33
8 443 10
8 300 69
8 204 35
8 169 49
9 107 52
9 303 26
9 147 14
9 38 20
10 161 29
10 482 30
10 79 21
10 420 34
10 32 12
10 106 62
10 235 32
10 275 50
10 467 35
11 85 32
11 52 42
11 251 37
11 308 59
11 221 47
11 158 64
12 143 50
12 336 60
12 300 48
12 386 22
12 420 65
12 222 57
12 182 31
13 50 64
13 387 43
13 113 69
13 225 32
13 497 20
13 205 24
14 280 14
14 18 19
14 480 14
14 95 35
14 303 61
14 202 11
14 476 54
14 5388 68
15 38 24
15 25 28
15 391 19
15 271 26
15 436 46
16 231 56
16 365 27
16 106 50
16 474 56
16 451 43
16 39 24
16 166 62
16 74 67
17 66 27
17 364 38
17 325 58
17 177 46
18 268 22
18 274 56
18 97 31
18 373 31
19 224 68
19 457 16
19 428 21
19 240 23
19 310 44
19 411 13
19 219 43
19 362 26
19 48 58
19 319 34
19 1056 137
20 123 64
20 134 62
20 492 64
20 145 69
21 156 61
21 143 49
21 331 19
21 28 69
21 22 60
21 190 36
22 482 23
22 241 61
22 127 15
22 463 23
23 238 34
23 139 34
23 94 14
23 396 48
23 480 22
23 114 15
23 489 10
23 279 33
24 48 12
24 429 32
24 390 30
24 269 65
24 462 41
24 255 35
24 265 35
24 98 58
25 80 17
25 500 12
25 123 17
25 104 32
25 455 43
26 116 26
26 220 33
26 104 60
26 269 37
26 446 15
26 337 13
26 323 29
26 444 20
26 239 35
27 58 54
27 440 58
27 457 69
28 299 11
28 330 16
28 71 23
28 205 44
28 264 67
28 208 63
28 291 41
28 37 16
28 469 59
28 384 43
28 371 42
29 362 54
29 366 21
29 348 66
29 299 46
29 474 15
29 111 49
29 365 63
30 136 23
30 183 36
30 135 38
30 124 58
30 238 67
31 406 49
31 227 33
31 372 48
31 241 67
31 471 53
31 381 20
31 210 59
31 487 64
31 201 54
31 155 18
31 490 61
31 179 15
32 73 54
32 209 47
32 71 15
32 432 68
32 201 45
32 332 29
33 138 63
33 196 69
33 461 24
33 486 43
33 224 43
33 394 69
33 454 68
34 75 37
34 406 32
34 401 60
34 329 49
34 428 48
34 214 69
34 3836 174
35 189 27
35 171 68
35 87 57
36 379 25
36 91 40
36 140 15
36 200 68
36 174 52
37 80 15
37 39 62
37 168 56
37 105 33
37 65 17
38 184 33
38 325 42
38 51 23
38 95 48
38 191 58
38 295 43
38 358 43
38 231 15
39 162 28
39 371 60
39 326 16
39 122 35
39 442 26
39 3918 98
40 268 55
40 155 57
40 257 34
40 273 17
40 416 66
40 107 49
41 460 49
41 357 19
41 356 25
41 119 69
41 350 43
41 97 62
41 57 27
41 5064 78
42 178 51
42 424 61
42 219 11
42 386 54
42 299 26
42 380 60
42 339 23
43 167 53
43 109 38
44 106 17
44 161 54
44 72 12
44 362 65
44 326 12
44 241 12
44 2060 134
45 47 63
45 287 59
45 330 45
45 174 59
45 84 50
45 567 126
46 246 13
46 174 15
46 291 15
46 217 33
46 236 13
46 230 40
46 154 46
47 137 46
47 227 58
47 144 20
47 496 57
47 5235 14
48 159 47
49 198 40
49 63 37
49 282 10
49 174 10
49 270 32
49 321 18
49 495 52
50 281 33
50 229 69
51 130 15
51 473 10
51 173 21
51 482 41
51 127 21
51 471 30
51 1254 72
52 463 10
52 244 55
52 330 49
52 474 48
52 284 47
52 123 22
52 242 59
53 468 36
53 454 58
53 346 22
53 377 52
54 222 10
54 238 59
54 303 64
54 212 18
55 323 22
55 276 24
55 132 50
55 101 61
55 267 29
55 326 61
56 358 59
56 308 47
56 144 61
56 297 64
56 428 29
56 108 38
57 253 26
57 297 34
57 245 11
57 145 68
57 183 42
57 364 52
58 340 67
59 114 23
59 108 54
59 330 42
59 306 12
60 353 45
60 497 13
60 346 40
60 458 54
60 489 48
60 417 26
61 272 17
61 78 69
61 390 56
61 75 63
61 294 62
62 390 10
62 469 16
62 231 65
62 191 39
62 496 17
62 394 60
62 396 69
62 192 49
62 448 44
62 152 69
63 118 31
63 197 62
63 217 40
63 114 33
63 211 15
63 332 69
64 210 19
64 151 43
64 433 37
64 145 59
64 113 12
64 441 62
64 180 36
64 216 51
64 453 60
65 72 47
65 223 31
65 90 55
65 436 40
65 116 68
65 249 69
65 111 26
66 373 68
66 360 19
66 396 65
66 309 48
66 1795 77
67 82 35
67 286 16
67 396 36
67 215 46
67 190 19
67 413 69
68 318 32
68 358 52
68 301 41
68 395 42
68 354 16
68 245 52
68 406 69
68 329 11
68 125 19
69 420 53
69 310 32
69 463 29
69 105 51
69 79 10
69 136 37
69 216 63
69 2516 65
70 94 47
70 485 60
70 450 60
70 234 63
70 112 17
70 321 55
70 154 55
70 2563 184
71 409 27
71 394 69
71 330 44
71 450 13
71 186 24
71 255 48
71 85 49
71 4333 144
72 96 15
72 379 28
72 246 33
72 500 56
73 255 23
73 231 53
73 88 64
73 106 35
73 339 31
74 170 45
74 340 60
74 388 15
74 376 39
74 299 43
74 458 57
75 263 59
75 88 53
75 410 55
75 311 18
76 348 57
76 337 40
76 397 64
76 325 40
76 186 49
76 87 48
76 258 63
76 270 41
77 413 36
77 378 30
77 275 52
77 185 13
77 314 66
78 478 65
78 116 37
78 189 58
78 260 11
78 458 39
78 79 54
79 177 26
79 219 38
79 193 37
79 249 35
79 495 68
80 125 40
80 209 11
80 350 33
80 2873 121
81 242 54
81 186 29
81 358 50
81 203 66
81 277 40
81 439 34
81 243 39
82 171 34
82 231 62
82 290 64
83 301 10
83 323 54
83 335 11
84 450 49
84 291 27
84 327 25
85 162 48
85 234 53
85 103 60
85 291 11
86 434 56
86 170 57
86 132 54
86 199 41
87 240 17
87 255 65
87 136 11
87 160 65
87 131 39
87 422 67
87 290 27
88 329 51
88 123 61
88 406 53
88 342 35
88 341 23
89 243 64
89 277 10
89 224 36
89 436 10
90 394 63
90 298 29
90 160 14
90 163 36
91 106 61
91 450 66
91 345 18
92 122 67
92 185 10
92 440 67
92 243 11
93 433 61
93 98 43
93 139 52
93 142 36
93 302 63
94 429 65
94 193 27
94 161 66
94 345 65
94 295 26
95 227 24
95 456 55
95 402 52
95 230 30
95 313 54
95 288 21
95 327 56
96 462 35
96 228 35
96 187 17
97 377 15
97 140 40
97 500 35
97 389 43
97 347 49
98 154 24
98 284 61
98 469 59
99 344 43
99 486 62
100 132 25
100 481 46
100 376 69
101 112 24
101 500 22
101 164 63
101 413 16
102 317 55
102 449 10
102 404 65
103 340 20
103 432 50
103 291 38
103 205 16
103 116 50
104 257 42
104 105 27
104 388 29
104 369 52
104 266 25
104 376 38
105 160 50
105 133 52
105 393 66
105 3640 132
105 5445 81
106 151 21
107 427 69
107 249 20
107 144 17
107 199 44
107 310 44
107 295 62
108 194 59
108 369 62
109 425 49
109 477 56
109 305 53
110 347 31
110 446 16
110 197 22
110 205 67
110 305 27
110 300 29
111 220 25
111 274 14
111 358 24
111 487 48
111 348 28
111 2119 161
112 215 53
112 379 25
112 341 24
112 267 55
112 464 62
112 2055 104
113 481 50
113 282 39
113 195 61
113 140 65
113 228 64
114 361 27
114 337 27
114 233 44
114 414 32
114 462 13
115 290 26
115 402 25
115 475 38
115 371 17
115 229 56
116 367 65
116 281 54
117 205 12
117 216 36
117 118 16
117 135 18
117 456 24
117 286 65
118 204 14
118 148 42
118 384 58
118 424 66
119 331 54
119 124 33
119 425 12
119 201 25
120 326 32
120 201 56
120 240 37
120 174 55
121 166 49
121 289 67
121 343 40
121 265 41
121 239 31
121 229 58
121 213 45
121 294 67
121 226 68
121 482 15
122 364 30
122 266 57
122 298 19
122 457 69
122 356 34
122 174 31
122 335 53
123 164 27
123 210 53
123 460 39
123 299 54
124 282 56
124 164 13
124 214 66
124 432 38
124 418 61
124 581 156
125 396 24
125 462 54
125 128 57
125 321 42
125 382 50
125 127 62
126 500 41
126 169 13
126 303 37
126 172 23
127 351 36
127 497 47
128 300 61
128 149 21
128 243 35
128 500 69
128 288 23
129 324 53
129 190 44
129 367 38
129 188 21
129 327 12
129 3093 60
130 187 54
131 252 65
131 494 28
131 486 14
131 399 65
131 176 27
131 220 38
131 159 48
131 379 41
132 140 49
133 436 54
133 498 42
133 497 34
133 213 24
133 144 41
133 3381 171
134 442 61
134 423 17
134 458 21
134 373 42
134 363 33
135 284 52
135 166 53
135 261 32
135 199 60
135 378 51
135 297 17
135 137 45
135 181 44
136 279 23
136 142 34
136 178 54
136 439 33
136 305 49
136 353 12
137 295 35
137 484 59
137 271 10
137 463 36
138 203 16
138 477 28
138 255 14
138 237 49
138 184 64
138 467 25
139 356 14
139 290 19
139 394 19
139 475 46
140 156 65
140 150 22
140 457 29
141 342 16
141 339 16
141 359 13
141 418 61
141 409 49
141 465 69
141 219 65
142 336 12
142 423 58
142 472 28
142 344 15
142 301 26
142 474 45
143 293 54
143 215 11
144 471 42
144 362 50
144 444 11
144 287 65
144 202 57
144 198 22
145 457 48
145 435 13
145 282 62
146 341 15
146 250 69
146 211 65
146 319 25
146 437 19
146 216 69
146 355 18
147 165 12
147 460 12
147 415 11
147 299 61
148 453 15
148 193 46
148 350 29
148 329 18
149 363 13
149 413 37
149 316 39
149 267 13
150 235 35
150 205 61
150 493 13
150 1453 142
151 437 45
151 322 20
151 154 24
151 460 14
152 479 33
152 483 57
152 249 61
152 352 67
153 188 15
153 400 10
154 496 34
154 357 28
155 244 60
155 450 24
155 315 50
155 222 25
156 469 46
156 295 47
156 427 63
156 171 55
156 434 33
156 288 63
157 426 57
157 376 20
157 224 51
157 442 29
157 265 34
157 453 11
157 649 19
158 366 20
158 391 38
158 382 67
158 251 20
159 438 37
159 353 53
159 207 18
159 346 41
160 226 58
160 489 34
160 1688 77
161 241 63
161 188 44
161 395 56
161 315 14
162 215 19
162 198 41
162 1134 130
163 168 55
163 233 16
163 230 42
164 177 63
164 434 51
164 3742 119
165 404 40
165 388 56
166 241 19
166 4964 159
167 401 32
167 211 31
167 366 18
168 191 21
168 353 24
168 265 15
168 421 65
168 252 62
169 213 40
169 292 11
169 304 53
169 179 23
169 219 61
169 5244 121
170 329 29
170 189 43
171 253 44
171 296 51
171 213 24
172 213 67
172 294 25
172 440 14
172 429 59
172 375 46
172 284 14
173 432 24
173 324 15
173 455 25
173 361 43
173 301 40
173 426 52
173 197 49
173 255 22
174 285 16
174 490 28
174 273 40
174 430 25
175 297 51
175 403 53
175 234 20
176 315 26
176 264 30
176 404 51
176 394 14
176 197 26
176 178 67
176 2469 71
177 230 52
177 366 35
177 198 58
178 451 34
178 446 52
178 284 13
179 386 10
179 439 45
179 199 39
179 346 16
180 216 66
180 252 40
180 361 55
180 469 14
180 224 42
181 311 68
181 368 36
181 398 52
181 5090 23
182 414 40
182 261 17
182 438 64
182 383 62
183 333 69
183 467 53
183 394 42
183 314 31
183 321 27
184 328 15
184 450 40
184 393 16
184 377 13
185 267 39
185 360 25
185 467 49
186 480 66
186 249 11
186 246 54
186 283 40
187 447 40
187 283 15
188 382 25
188 210 64
188 496 62
189 389 62
189 248 49
190 240 56
190 260 21
190 420 17
190 427 34
190 1475 90
191 237 58
191 485 19
191 360 26
191 315 27
192 207 60
192 225 31
192 392 27
193 258 23
193 239 14
193 402 47
194 381 24
194 434 45
194 272 17
194 282 18
194 458 41
195 211 37
195 236 19
195 279 22
195 201 13
195 482 44
195 200 66
196 444 31
196 313 44
196 222 35
196 281 54
196 4446 54
197 212 54
197 300 16
197 303 39
198 415 11
198 448 60
198 252 19
199 330 42
199 373 54
199 447 13
199 201 49
199 334 13
199 242 35
199 225 67
199 3142 70
200 424 64
200 208 45
200 441 41
200 293 15
201 459 23
201 211 53
201 235 16
202 479 14
202 446 48
203 351 65
203 311 61
203 302 31
203 298 16
203 417 45
204 410 65
204 293 47
205 398 53
206 418 40
206 436 36
206 362 16
206 452 39
206 499 13
207 463 16
207 308 44
207 470 63
207 405 21
207 4629 140
208 428 16
208 479 17
208 230 39
208 259 58
208 464 63
208 352 18
209 239 30
209 227 13
209 331 60
209 356 68
209 332 34
209 304 21
210 374 41
210 305 44
210 231 23
210 476 16
210 4851 103
211 313 37
211 424 12
211 259 26
211 236 52
212 260 37
212 250 48
212 2243 122
213 386 48
213 254 42
213 332 62
213 248 32
214 293 25
214 417 61
214 495 24
214 318 62
215 385 16
215 244 38
215 357 20
215 220 44
217 230 27
217 325 62
217 321 20
217 449 60
218 410 40
218 248 52
218 302 12
218 236 47
218 433 61
219 399 37
219 250 69
219 444 69
219 1787 171
221 345 17
221 409 67
222 380 37
222 399 55
222 290 29
223 427 55
223 267 11
223 239 30
223 312 13
223 363 44
224 309 49
224 3220 83
225 321 10
225 384 63
225 240 40
225 428 35
225 419 66
225 4205 195
225 5312 61
226 349 65
227 417 37
227 336 61
227 431 14
228 262 64
228 306 57
228 242 63
228 248 57
229 488 13
229 247 44
229 346 17
229 372 29
